"","Roof","Postcode","emmean","SE","df","lower.CL","upper.CL"
"1","Roof tile","5000",24049.9385910878,1217.08384861555,127,21641.5492960761,26458.3278860996
"2","Other material","5000",24560.1731785846,1865.48936456145,127,20868.70638221,28251.6399749592
"3","Fibre cement including asbestos","5000",22603.7019086672,1457.53483837363,127,19719.5034979835,25487.9003193509
"4","Roof tile","5200+5210",18404.7102700459,1289.73320119234,127,15852.5610169717,20956.8595231201
"5","Other material","5200+5210",18914.9448575427,1854.32031944954,127,15245.5795858195,22584.3101292658
"6","Fibre cement including asbestos","5200+5210",16958.4735876252,1299.21943173647,127,14387.5527962396,19529.3943790109
"7","Roof tile","5220+5250+5260",17999.7205510407,1186.27973136835,127,15652.287044987,20347.1540570945
"8","Other material","5220+5250+5260",18509.9551385375,1737.28441894086,127,15072.1827930024,21947.7274840725
"9","Fibre cement including asbestos","5220+5250+5260",16553.4838686201,1337.94285280112,127,13905.9364151812,19201.031322059
"10","Roof tile","5230",23749.826546326,1141.27375019866,127,21491.4517549893,26008.2013376627
"11","Other material","5230",24260.0611338228,1863.56933993876,127,20572.3937196787,27947.7285479669
"12","Fibre cement including asbestos","5230",22303.5898639053,1521.13654403317,127,19293.5351556221,25313.6445721885
"13","Roof tile","5240+5320",13715.4454834617,2152.27718208662,127,9456.47735145349,17974.4136154699
"14","Other material","5240+5320",14225.6800709584,2137.67889879921,127,9995.59930709251,18455.7608348244
"15","Fibre cement including asbestos","5240+5320",12269.208801041,2149.00978875644,127,8016.70625078215,16521.7113512999
"16","Roof tile","5270",15318.8681153372,1453.71543040019,127,12442.2276237624,18195.5086069121
"17","Other material","5270",15829.102702834,1885.16263797473,127,12098.7060487177,19559.4993569503
"18","Fibre cement including asbestos","5270",13872.6314329166,1520.34360476291,127,10864.1458083512,16881.117057482
